Mixture	Cancer.cells	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	P-value	Correlation	RMSE
IP.08	0.05423966086194183	0.21958851891429479	0.11734293949990614	0.01168046119329532	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.54427050300694346	0.02480526978269547	0.00000000000000000	0.02807264674092306	0.00000000000000000	0.30147606744991567	0.96083943272404992
IP.108b	0.26190693594746561	0.00000000000000000	0.40351193616623188	0.00000000000000000	0.00000000000000000	0.01067746613839744	0.00000000000000000	0.25307161249460963	0.00000000000000000	0.00000000000000000	0.07083204925329539	0.00000000000000000	0.11887638186247448	1.09330621029470509
IP.115b	0.83266789285154186	0.00000000000000000	0.07451171416539445	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06035563678313955	0.00000000000000000	0.00000000000000000	0.03246475619992408	0.00000000000000000	0.35632026098685721	1.03170542308342417
IP.124b	0.03445124078693662	0.14862126566267692	0.11312140752589062	0.07506833566979020	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.44396432299986860	0.00000000000000000	0.00000000000000000	0.18477342735483709	0.00000000000000000	0.14702631013561812	1.01344583434773639
IP.127	0.60476827123514920	0.00000000000000000	0.13943926295913478	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.17617561132477508	0.00000000000000000	0.00000000000000000	0.07961685448094112	0.00000000000000000	-0.00894940586952292	1.16500751587350782
IP.138b	0.14498888012618291	0.00000000000000000	0.42244078745934294	0.03670955658264882	0.15721845685127014	0.00000000000000000	0.00000000000000000	0.23864231898055513	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.21201117624475302	1.05700052408989253
IP.140b	0.27496297820086774	0.00000000000000000	0.28311965248714305	0.18193201148858185	0.00000000000000000	0.00000000000000000	0.03865704224517560	0.05631913864864511	0.00000000000000000	0.00000000000000000	0.16500917692958650	0.00000000000000000	0.11294336743321969	1.08292692454799577
IP.148	0.42089489996863494	0.00759427624492855	0.36898132318170573	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.08203245583195100	0.02958384241631695	0.03942166964595528	0.05149153271050747	0.00000000000000000	0.12571157448222414	1.10308311444628826
IP.197	0.83328355207602545	0.00000000000000000	0.03971123771029076	0.03630001659943859	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04777739609499149	0.00326548980910682	0.00000000000000000	0.03966230771014691	0.00000000000000000	0.26172740974512049	1.09862442636263324
IP.214	0.78070182299242263	0.00000000000000000	0.02431619991041401	0.08451571083370599	0.00000000000000000	0.00000000000000000	0.00449624675766635	0.00000000000000000	0.01509321693919605	0.01165157304197333	0.07922522952462170	0.00000000000000000	0.26209188204190675	1.07645029255961511
IP.28	0.87249092542168738	0.00000000000000000	0.00000000000000000	0.02368550558466035	0.00000000000000000	0.01629788662224999	0.05907199713712129	0.00000000000000000	0.00000000000000000	0.02845368523428090	0.00000000000000000	0.00000000000000000	0.24514592865977797	1.12857299603251193
IP.31b	0.03838967390844640	0.00000000000000000	0.51330950463412384	0.11793847604143813	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.32803602106959734	0.00232632434639434	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.17535043815519910	1.12270035971386406
IP.36	0.70809048873628955	0.00000000000000000	0.11747316567537759	0.01890025064762244	0.00000000000000000	0.02667385111445833	0.00000000000000000	0.00000000000000000	0.01792436850133416	0.00804330743407941	0.10289456789083844	0.00000000000000000	0.12280365876641929	1.13685373638036680
IP.38b	0.87053927676906984	0.00000000000000000	0.00000000000000000	0.00968926960156605	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.11977145362936417	0.00000000000000000	0.10596255383867305	1.22232502389549880
IP.46	0.28159683191469970	0.06237062600984503	0.16515882070731822	0.03963362570728039	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18836408193891865	0.06241416813431393	0.03410781763561946	0.16635402795200463	0.00000000000000000	0.16483873592791060	1.00980473699016171
IP.52	0.35342606442015451	0.00000000000000000	0.23212540779583818	0.13433545590196502	0.00000000000000000	0.04406985128928385	0.00763446317591436	0.01619025586643750	0.00000000000000000	0.04426680335760755	0.16795169819279929	0.00000000000000000	0.26256941509280540	0.99794509598649450
IP.57	0.72826344477959359	0.00021728042630893	0.11401734462694733	0.01832317810203212	0.00000000000000000	0.00384764237633090	0.00000000000000000	0.01306396210276407	0.00008991229446219	0.00000000000000000	0.12217723529156087	0.00000000000000000	0.38851369367976779	0.97615204015872903
IP.58b	0.32005765489063998	0.00000000000000000	0.27070105915695303	0.15809738354756392	0.00000000000000000	0.02617235410739259	0.00000000000000000	0.06462513565298685	0.11365652143440179	0.04668989121006183	0.00000000000000000	0.00000000000000000	0.17329341439653953	1.04260682841889429
IP.60	0.00000000000000000	0.00000000000000000	0.34225862805992824	0.00592307798871680	0.00000000000000000	0.00000000000000000	0.00724037145753161	0.57232197141010988	0.00000000000000000	0.07225595108371349	0.00000000000000000	0.00000000000000000	0.06436093276204029	1.09162184585107225
IP.67b	0.89359280101208693	0.00000000000000000	0.02048602731759912	0.00000000000000000	0.00000000000000000	0.01763270080183985	0.00000000000000000	0.01308700301771455	0.00129823271711792	0.00000000000000000	0.05390323513364161	0.00000000000000000	0.20794374812633651	1.16426834185301331
IP.73	0.79653642605421160	0.00000000000000000	0.04361017797846490	0.00000000000000000	0.00000000000000000	0.00500797594016654	0.00000000000000000	0.15484542002715698	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18026868953027217	1.13650842135213059
IP.82b	0.31090437016342937	0.00000000000000000	0.21192691693533280	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00124350811225621	0.00000000000000000	0.00000000000000000	0.24422240822370073	0.23170279656528078	0.00000000000000000	-0.01692083703808366	1.10536651023846155
IP.89b	0.03721857948012157	0.00000000000000000	0.33500010019042309	0.08675547788290480	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.42586815647787046	0.00000000000000000	0.00000000000000000	0.11515768596868006	0.00000000000000000	0.27858757652922833	0.98866693169214170
IP.99	0.65435181242512108	0.00000000000000000	0.08150303258086415	0.08484595252429447	0.00000000000000000	0.01144560610957804	0.00594120463024223	0.03950136596587582	0.00000000000000000	0.00000000000000000	0.12241102576402418	0.00000000000000000	0.24635424446730908	1.04300505427530998
